Date,Price
2010-01-01,78.29
2010-01-04,77.83
2010-01-05,77.85
2010-01-06,77.655
2010-01-07,78.105
2010-01-08,77.655
2010-01-11,77.16
2010-01-12,77.12
2010-01-13,76.99
2010-01-14,76.885
2010-01-15,77.48
2010-01-18,77.205
2010-01-19,77.65
2010-01-20,78.5
2010-01-21,78.515
2010-01-22,78.43
2010-01-25,78.35
2010-01-26,78.61
2010-01-27,78.87
2010-01-28,79.1
2010-01-29,79.65
2010-02-01,79.42
2010-02-02,79.18
2010-02-03,79.55
2010-02-04,80.075
2010-02-05,80.595
2010-02-08,80.44
2010-02-09,79.99
2010-02-10,80.14
2010-02-11,80.1
2010-02-12,80.41
2010-02-15,80.435
2010-02-16,79.755
2010-02-17,80.475
2010-02-18,80.465
2010-02-19,80.72
2010-02-22,80.585
2010-02-23,80.91
2010-02-24,80.915
2010-02-25,80.86
2010-02-26,80.44
2010-03-01,80.705
2010-03-02,80.575
2010-03-03,80.02
2010-03-04,80.585
2010-03-05,80.46
2010-03-08,80.455
2010-03-09,80.605
2010-03-10,80.465
2010-03-11,80.315
2010-03-12,79.84
2010-03-15,80.175
2010-03-16,79.995
2010-03-17,79.85
2010-03-18,80.44
2010-03-19,80.975
2010-03-22,80.883
2010-03-23,81.118
2010-03-24,82.106
2010-03-25,82.405
2010-03-26,81.978
2010-03-29,81.624
2010-03-30,81.738
2010-03-31,81.291
2010-04-01,80.972
2010-04-02,81.444
2010-04-05,81.254
2010-04-06,81.57
2010-04-07,81.612
2010-04-08,81.701
2010-04-09,81.241
2010-04-12,80.692
2010-04-13,80.625
2010-04-14,80.291
2010-04-15,80.585
2010-04-16,80.944
2010-04-19,81.105
2010-04-20,81.141
2010-04-21,81.266
2010-04-22,81.682
2010-04-23,81.498
2010-04-26,81.615
2010-04-27,82.31
2010-04-28,82.535
2010-04-29,82.161
2010-04-30,81.991
2010-05-03,82.399
2010-05-04,83.421
2010-05-05,84.2
2010-05-06,85.047
2010-05-07,84.659
2010-05-10,84.335
2010-05-11,84.613
2010-05-12,84.967
2010-05-13,85.342
2010-05-14,86.231
2010-05-17,86.377
2010-05-18,87.315
2010-05-19,86.54
2010-05-20,85.706
2010-05-21,85.537
2010-05-24,86.337
2010-05-25,86.888
2010-05-26,87.244
2010-05-27,86.282
2010-05-28,86.582
2010-05-31,86.67
2010-06-01,86.725
2010-06-02,86.877
2010-06-03,87.214
2010-06-04,88.315
2010-06-07,88.463
2010-06-08,88.473
2010-06-09,87.935
2010-06-10,87.166
2010-06-11,87.517
2010-06-14,86.504
2010-06-15,86.29
2010-06-16,86.386
2010-06-17,85.982
2010-06-18,85.976
2010-06-21,86.239
2010-06-22,86.408
2010-06-23,86.048
2010-06-24,86.017
2010-06-25,85.579
2010-06-28,85.922
2010-06-29,86.34
2010-06-30,86.281
2010-07-01,84.984
2010-07-02,84.67
2010-07-05,84.862
2010-07-06,84.306
2010-07-07,84.038
2010-07-08,84.036
2010-07-09,84.152
2010-07-12,84.407
2010-07-13,83.821
2010-07-14,83.598
2010-07-15,82.743
2010-07-16,82.658
2010-07-19,82.705
2010-07-20,82.929
2010-07-21,83.593
2010-07-22,82.782
2010-07-23,82.629
2010-07-26,82.242
2010-07-27,82.328
2010-07-28,82.31
2010-07-29,81.754
2010-07-30,81.655
2010-08-02,81.055
2010-08-03,80.684
2010-08-04,80.992
2010-08-05,80.93
2010-08-06,80.496
2010-08-09,80.789
2010-08-10,80.924
2010-08-11,82.428
2010-08-12,82.767
2010-08-13,83.038
2010-08-16,82.635
2010-08-17,82.324
2010-08-18,82.31
2010-08-19,82.54
2010-08-20,83.16
2010-08-23,83.228
2010-08-24,83.206
2010-08-25,83.331
2010-08-26,82.983
2010-08-27,82.968
2010-08-30,83.226
2010-08-31,83.254
2010-09-01,82.549
2010-09-02,82.501
2010-09-03,82.124
2010-09-06,82.07
2010-09-07,82.844
2010-09-08,82.58
2010-09-09,82.69
2010-09-10,82.701
2010-09-13,82.092
2010-09-14,81.339
2010-09-15,81.751
2010-09-16,81.501
2010-09-17,81.641
2010-09-20,81.582
2010-09-21,80.673
2010-09-22,80.064
2010-09-23,80.247
2010-09-24,79.599
2010-09-27,79.554
2010-09-28,79.212
2010-09-29,78.905
2010-09-30,78.938
2010-10-01,78.313
2010-10-04,78.658
2010-10-05,77.967
2010-10-06,77.62
2010-10-07,77.642
2010-10-08,77.563
2010-10-11,77.664
2010-10-12,77.588
2010-10-13,77.287
2010-10-14,76.881
2010-10-15,77.268
2010-10-18,77.137
2010-10-19,78.421
2010-10-20,77.414
2010-10-21,77.634
2010-10-22,77.685
2010-10-25,77.303
2010-10-26,77.91
2010-10-27,78.377
2010-10-28,77.503
2010-10-29,77.457
2010-11-01,77.481
2010-11-02,76.892
2010-11-03,76.623
2010-11-04,76
2010-11-05,76.691
2010-11-08,77.164
2010-11-09,77.584
2010-11-10,77.77
2010-11-11,78.356
2010-11-12,78.231
2010-11-15,78.673
2010-11-16,79.333
2010-11-17,79.21
2010-11-18,78.729
2010-11-19,78.594
2010-11-22,78.768
2010-11-23,79.762
2010-11-24,79.939
2010-11-25,79.695
2010-11-26,80.433
2010-11-29,80.902
2010-11-30,81.271
2010-12-01,80.762
2010-12-02,80.336
2010-12-03,79.407
2010-12-06,79.599
2010-12-07,79.864
2010-12-08,80.008
2010-12-09,80.085
2010-12-10,80.066
2010-12-13,79.64
2010-12-14,79.69
2010-12-15,80.582
2010-12-16,80.549
2010-12-17,80.752
2010-12-20,80.972
2010-12-21,81.069
2010-12-22,81.073
2010-12-23,80.832
2010-12-24,80.827
2010-12-27,80.679
2010-12-28,80.67
2010-12-29,80.102
2010-12-30,79.798
2010-12-31,79.288
2011-01-03,79.384
2011-01-04,79.699
2011-01-05,80.538
2011-01-06,81.093
2011-01-07,81.321
2011-01-10,81.163
2011-01-11,81.135
2011-01-12,80.25
2011-01-13,79.406
2011-01-14,79.366
2011-01-17,79.51
2011-01-18,79.16
2011-01-19,78.811
2011-01-20,78.984
2011-01-21,78.37
2011-01-24,78.193
2011-01-25,78.145
2011-01-26,78.035
2011-01-27,77.854
2011-01-28,78.28
2011-01-31,77.865
2011-02-01,77.193
2011-02-02,77.278
2011-02-03,77.867
2011-02-04,78.157
2011-02-07,78.122
2011-02-08,78.094
2011-02-09,77.721
2011-02-10,78.327
2011-02-11,78.565
2011-02-14,78.717
2011-02-15,78.66
2011-02-16,78.277
2011-02-17,78.065
2011-02-18,77.72
2011-02-21,77.745
2011-02-22,77.823
2011-02-23,77.444
2011-02-24,77.096
2011-02-25,77.3
2011-02-28,76.921
2011-03-01,77.083
2011-03-02,76.689
2011-03-03,76.495
2011-03-04,76.416
2011-03-07,76.514
2011-03-08,76.8
2011-03-09,76.719
2011-03-10,77.274
2011-03-11,76.77
2011-03-14,76.462
2011-03-15,76.656
2011-03-16,76.986
2011-03-17,76.34
2011-03-18,75.971
2011-03-21,75.655
2011-03-22,75.673
2011-03-23,76.046
2011-03-24,75.888
2011-03-25,76.485
2011-03-28,76.376
2011-03-29,76.502
2011-03-30,76.357
2011-03-31,76.072
2011-04-01,76.083
2011-04-04,76.159
2011-04-05,76.111
2011-04-06,75.757
2011-04-07,75.81
2011-04-08,75.273
2011-04-11,75.282
2011-04-12,75.065
2011-04-13,75.19
2011-04-14,74.888
2011-04-15,75.028
2011-04-18,75.73
2011-04-19,75.249
2011-04-20,74.567
2011-04-21,74.18
2011-04-22,74.28
2011-04-25,74.181
2011-04-26,74.025
2011-04-27,73.691
2011-04-28,73.311
2011-04-29,73.107
2011-05-02,73.139
2011-05-03,73.315
2011-05-04,73.213
2011-05-05,74.375
2011-05-06,75.08
2011-05-09,74.9
2011-05-10,74.782
2011-05-11,75.517
2011-05-12,75.417
2011-05-13,75.938
2011-05-16,75.651
2011-05-17,75.545
2011-05-18,75.632
2011-05-19,75.277
2011-05-20,75.579
2011-05-23,76.234
2011-05-24,76.023
2011-05-25,76.03
2011-05-26,75.632
2011-05-27,75.018
2011-05-30,75.03
2011-05-31,74.696
2011-06-01,74.731
2011-06-02,74.375
2011-06-03,73.807
2011-06-06,73.999
2011-06-07,73.528
2011-06-08,73.939
2011-06-09,74.201
2011-06-10,74.798
2011-06-13,74.596
2011-06-14,74.692
2011-06-15,76.072
2011-06-16,76.224
2011-06-17,75.461
2011-06-20,75.5
2011-06-21,74.931
2011-06-22,75.188
2011-06-23,75.904
2011-06-24,76.21
2011-06-27,75.828
2011-06-28,75.49
2011-06-29,75.074
2011-06-30,74.635
2011-07-01,74.674
2011-07-04,74.57
2011-07-05,74.985
2011-07-06,75.44
2011-07-07,75.257
2011-07-08,75.514
2011-07-11,76.374
2011-07-12,76.234
2011-07-13,75.547
2011-07-14,75.562
2011-07-15,75.52
2011-07-18,75.793
2011-07-19,75.513
2011-07-20,75.094
2011-07-21,74.231
2011-07-22,74.412
2011-07-25,74.254
2011-07-26,73.629
2011-07-27,74.273
2011-07-28,74.391
2011-07-29,74.036
2011-08-01,74.456
2011-08-02,74.666
2011-08-03,74.199
2011-08-04,75.36
2011-08-05,74.802
2011-08-08,74.938
2011-08-09,74.724
2011-08-10,74.769
2011-08-11,74.81
2011-08-12,74.743
2011-08-15,73.929
2011-08-16,74.093
2011-08-17,73.758
2011-08-18,74.315
2011-08-19,74.106
2011-08-22,74.168
2011-08-23,73.961
2011-08-24,74.087
2011-08-25,74.362
2011-08-26,73.869
2011-08-29,73.777
2011-08-30,73.996
2011-08-31,74.173
2011-09-01,74.557
2011-09-02,74.839
2011-09-05,75.223
2011-09-06,76.057
2011-09-07,75.566
2011-09-08,76.352
2011-09-09,77.3
2011-09-12,77.666
2011-09-13,76.997
2011-09-14,76.875
2011-09-15,76.267
2011-09-16,76.593
2011-09-19,77.435
2011-09-20,77.528
2011-09-21,77.859
2011-09-22,79.1
2011-09-23,79.228
2011-09-26,79.063
2011-09-27,78.028
2011-09-28,78.429
2011-09-29,78.603
2011-09-30,79.075
2011-10-03,79.937
2011-10-04,80.104
2011-10-05,79.385
2011-10-06,79.088
2011-10-07,79.149
2011-10-10,77.811
2011-10-11,77.908
2011-10-12,77.274
2011-10-13,77.284
2011-10-14,76.907
2011-10-17,77.428
2011-10-18,77.412
2011-10-19,77.416
2011-10-20,77.236
2011-10-21,76.628
2011-10-24,76.262
2011-10-25,76.321
2011-10-26,76.473
2011-10-27,75.011
2011-10-28,75.216
2011-10-31,76.306
2011-11-01,77.39
2011-11-02,77.181
2011-11-03,76.856
2011-11-04,77.162
2011-11-07,77.141
2011-11-08,76.751
2011-11-09,78.167
2011-11-10,77.973
2011-11-11,77.131
2011-11-14,77.753
2011-11-15,78.062
2011-11-16,78.206
2011-11-17,78.489
2011-11-18,78.255
2011-11-21,78.463
2011-11-22,78.435
2011-11-23,79.351
2011-11-24,79.351
2011-11-25,79.831
2011-11-28,79.436
2011-11-29,79.151
2011-11-30,78.491
2011-12-01,78.433
2011-12-02,78.731
2011-12-05,78.671
2011-12-06,78.571
2011-12-07,78.552
2011-12-08,78.912
2011-12-09,78.681
2011-12-12,79.58
2011-12-13,80.289
2011-12-14,80.622
2011-12-15,80.341
2011-12-16,80.249
2011-12-19,80.207
2011-12-20,80.273
2011-12-21,80.35
2011-12-22,80.306
2011-12-23,80.236
2011-12-26,80.32
2011-12-27,80.135
2011-12-28,80.883
2011-12-29,80.911
2011-12-30,80.522
2012-01-02,80.58
2012-01-03,79.912
2012-01-04,80.425
2012-01-05,81.25
2012-01-06,81.597
2012-01-09,81.388
2012-01-10,81.101
2012-01-11,81.614
2012-01-12,81.036
2012-01-13,81.791
2012-01-16,81.583
2012-01-17,81.429
2012-01-18,80.822
2012-01-19,80.405
2012-01-20,80.406
2012-01-23,79.934
2012-01-24,80.026
2012-01-25,79.717
2012-01-26,79.513
2012-01-27,79.011
2012-01-30,79.302
2012-01-31,79.417
2012-02-01,79.033
2012-02-02,79.11
2012-02-03,79.057
2012-02-06,79.186
2012-02-07,78.675
2012-02-08,78.734
2012-02-09,78.652
2012-02-10,79.226
2012-02-13,79.045
2012-02-14,79.694
2012-02-15,79.783
2012-02-16,79.455
2012-02-17,79.456
2012-02-20,79.1
2012-02-21,79.136
2012-02-22,79.303
2012-02-23,78.886
2012-02-24,78.401
2012-02-27,78.578
2012-02-28,78.3
2012-02-29,78.794
2012-03-01,78.834
2012-03-02,79.462
2012-03-05,79.365
2012-03-06,79.926
2012-03-07,79.763
2012-03-08,79.179
2012-03-09,80.084
2012-03-12,79.913
2012-03-13,80.21
2012-03-14,80.536
2012-03-15,80.136
2012-03-16,79.734
2012-03-19,79.712
2012-03-20,79.825
2012-03-21,79.896
2012-03-22,79.998
2012-03-23,79.576
2012-03-26,79.179
2012-03-27,79.222
2012-03-28,79.299
2012-03-29,79.357
2012-03-30,79.138
2012-04-02,78.963
2012-04-03,79.641
2012-04-04,79.949
2012-04-05,80.293
2012-04-06,80.093
2012-04-09,79.919
2012-04-10,80.098
2012-04-11,79.993
2012-04-12,79.449
2012-04-13,80.055
2012-04-16,79.732
2012-04-17,79.627
2012-04-18,79.674
2012-04-19,79.707
2012-04-20,79.313
2012-04-23,79.536
2012-04-24,79.326
2012-04-25,79.111
2012-04-26,79.001
2012-04-27,78.757
2012-04-30,78.848
2012-05-01,78.935
2012-05-02,79.201
2012-05-03,79.293
2012-05-04,79.587
2012-05-07,79.715
2012-05-08,79.849
2012-05-09,80.232
2012-05-10,80.257
2012-05-11,80.404
2012-05-14,80.748
2012-05-15,81.38
2012-05-16,81.524
2012-05-17,81.54
2012-05-18,81.424
2012-05-21,81.232
2012-05-22,81.648
2012-05-23,82.235
2012-05-24,82.487
2012-05-25,82.523
2012-05-28,82.523
2012-05-29,82.581
2012-05-30,83.086
2012-05-31,83.129
2012-06-01,82.973
2012-06-04,82.661
2012-06-05,82.913
2012-06-06,82.379
2012-06-07,82.106
2012-06-08,82.562
2012-06-11,82.548
2012-06-12,82.449
2012-06-13,82.057
2012-06-14,81.988
2012-06-15,81.605
2012-06-18,81.854
2012-06-19,81.586
2012-06-20,81.734
2012-06-21,82.488
2012-06-22,82.442
2012-06-25,82.662
2012-06-26,82.539
2012-06-27,82.81
2012-06-28,83.007
2012-06-29,81.753
2012-07-02,82.008
2012-07-03,81.872
2012-07-04,81.872
2012-07-05,82.942
2012-07-06,83.561
2012-07-09,83.351
2012-07-10,83.559
2012-07-11,83.728
2012-07-12,83.809
2012-07-13,83.474
2012-07-16,83.218
2012-07-17,83.168
2012-07-18,83.196
2012-07-19,82.98
2012-07-20,83.573
2012-07-23,83.815
2012-07-24,84.145
2012-07-25,83.641
2012-07-26,82.859
2012-07-27,82.765
2012-07-30,82.868
2012-07-31,82.71
2012-08-01,83.178
2012-08-02,83.451
2012-08-03,82.446
2012-08-06,82.304
2012-08-07,82.25
2012-08-08,82.439
2012-08-09,82.71
2012-08-10,82.631
2012-08-13,82.486
2012-08-14,82.527
2012-08-15,82.711
2012-08-16,82.417
2012-08-17,82.663
2012-08-20,82.5
2012-08-21,81.92
2012-08-22,81.497
2012-08-23,81.359
2012-08-24,81.603
2012-08-27,81.691
2012-08-28,81.381
2012-08-29,81.564
2012-08-30,81.713
2012-08-31,81.216
2012-09-03,81.216
2012-09-04,81.316
2012-09-05,81.235
2012-09-06,81.033
2012-09-07,80.234
2012-09-10,80.343
2012-09-11,79.836
2012-09-12,79.723
2012-09-13,79.237
2012-09-14,78.841
2012-09-17,78.843
2012-09-18,79.346
2012-09-19,79.127
2012-09-20,79.478
2012-09-21,79.398
2012-09-24,79.577
2012-09-25,79.608
2012-09-26,79.948
2012-09-27,79.592
2012-09-28,80.025
2012-10-01,79.909
2012-10-02,79.83
2012-10-03,80.064
2012-10-04,79.44
2012-10-05,79.428
2012-10-08,79.622
2012-10-09,80.069
2012-10-10,80.017
2012-10-11,79.86
2012-10-12,79.74
2012-10-15,79.806
2012-10-16,79.464
2012-10-17,79.059
2012-10-18,79.425
2012-10-19,79.688
2012-10-22,79.736
2012-10-23,80.08
2012-10-24,80.015
2012-10-25,80.118
2012-10-26,80.156
2012-10-29,80.318
2012-10-30,79.987
2012-10-31,79.987
2012-11-01,80.136
2012-11-02,80.683
2012-11-05,80.843
2012-11-06,80.715
2012-11-07,80.867
2012-11-08,80.886
2012-11-09,81.098
2012-11-12,81.106
2012-11-13,81.14
2012-11-14,81.1
2012-11-15,81.138
2012-11-16,81.31
2012-11-19,80.922
2012-11-20,81
2012-11-21,80.966
2012-11-22,80.966
2012-11-23,80.236
2012-11-26,80.266
2012-11-27,80.43
2012-11-28,80.354
2012-11-29,80.209
2012-11-30,80.163
2012-12-03,79.872
2012-12-04,79.634
2012-12-05,79.764
2012-12-06,80.253
2012-12-07,80.402
2012-12-10,80.33
2012-12-11,80.054
2012-12-12,79.81
2012-12-13,79.913
2012-12-14,79.56
2012-12-17,79.513
2012-12-18,79.387
2012-12-19,79.313
2012-12-20,79.31
2012-12-21,79.712
2012-12-24,79.745
2012-12-26,79.704
2012-12-27,79.719
2012-12-28,79.785
2012-12-31,79.871
2013-01-02,79.948
2013-01-03,80.515
2013-01-04,80.61
2013-01-07,80.369
2013-01-08,80.445
2013-01-09,80.677
2013-01-10,79.817
2013-01-11,79.611
2013-01-14,79.54
2013-01-15,79.832
2013-01-16,79.854
2013-01-17,79.711
2013-01-18,80.116
2013-01-21,80.116
2013-01-22,79.973
2013-01-23,79.99
2013-01-24,80.007
2013-01-25,79.82
2013-01-28,79.868
2013-01-29,79.624
2013-01-30,79.326
2013-01-31,79.226
2013-02-01,79.135
2013-02-04,79.573
2013-02-05,79.533
2013-02-06,79.767
2013-02-07,80.257
2013-02-08,80.316
2013-02-11,80.389
2013-02-12,80.163
2013-02-13,80.167
2013-02-14,80.538
2013-02-15,80.576
2013-02-18,80.576
2013-02-19,80.545
2013-02-20,81.155
2013-02-21,81.551
2013-02-22,81.585
2013-02-25,81.777
2013-02-26,81.94
2013-02-27,81.672
2013-02-28,82.003
2013-03-01,82.358
2013-03-04,82.255
2013-03-05,82.147
2013-03-06,82.507
2013-03-07,82.123
2013-03-08,82.731
2013-03-11,82.58
2013-03-12,82.595
2013-03-13,82.902
2013-03-14,82.623
2013-03-15,82.256
2013-03-18,82.574
2013-03-19,83.211
2013-03-20,82.948
2013-03-21,82.905
2013-03-22,82.529
2013-03-25,82.995
2013-03-26,83.048
2013-03-27,83.411
2013-03-28,83.175
2013-04-01,82.899
2013-04-02,83.092
2013-04-03,82.861
2013-04-04,82.795
2013-04-05,82.603
2013-04-08,82.869
2013-04-09,82.414
2013-04-10,82.634
2013-04-11,82.325
2013-04-12,82.406
2013-04-15,82.507
2013-04-16,81.823
2013-04-17,82.791
2013-04-18,82.681
2013-04-19,82.846
2013-04-22,82.824
2013-04-23,83.186
2013-04-24,83.026
2013-04-25,82.84
2013-04-26,82.571
2013-04-29,82.202
2013-04-30,81.807
2013-05-01,81.522
2013-05-02,82.282
2013-05-03,82.195
2013-05-06,82.378
2013-05-07,82.335
2013-05-08,81.951
2013-05-09,82.875
2013-05-10,83.231
2013-05-13,83.365
2013-05-14,83.713
2013-05-15,83.961
2013-05-16,83.722
2013-05-17,84.387
2013-05-20,83.842
2013-05-21,83.955
2013-05-22,84.459
2013-05-23,83.803
2013-05-24,83.758
2013-05-27,83.758
2013-05-28,84.172
2013-05-29,83.705
2013-05-30,83.067
2013-05-31,83.401
2013-06-03,82.688
2013-06-04,82.802
2013-06-05,82.612
2013-06-06,81.537
2013-06-07,81.66
2013-06-10,81.651
2013-06-11,81.11
2013-06-12,80.946
2013-06-13,80.742
2013-06-14,80.65
2013-06-17,80.733
2013-06-18,80.749
2013-06-19,81.595
2013-06-20,82.096
2013-06-21,82.517
2013-06-24,82.633
2013-06-25,82.8
2013-06-26,83.228
2013-06-27,83.152
2013-06-28,83.376
2013-07-01,83.253
2013-07-02,83.764
2013-07-03,83.451
2013-07-04,83.451
2013-07-05,84.689
2013-07-08,84.414
2013-07-09,84.781
2013-07-10,84.234
2013-07-11,82.915
2013-07-12,83.163
2013-07-15,83.196
2013-07-16,82.637
2013-07-17,82.84
2013-07-18,82.955
2013-07-19,82.711
2013-07-22,82.317
2013-07-23,82.04
2013-07-24,82.4
2013-07-25,82.053
2013-07-26,81.764
2013-07-29,81.763
2013-07-30,81.919
2013-07-31,81.539
2013-08-01,82.427
2013-08-02,81.978
2013-08-05,81.936
2013-08-06,81.658
2013-08-07,81.323
2013-08-08,81.027
2013-08-09,81.17
2013-08-12,81.374
2013-08-13,81.815
2013-08-14,81.758
2013-08-15,81.207
2013-08-16,81.293
2013-08-19,81.26
2013-08-20,80.934
2013-08-21,81.223
2013-08-22,81.531
2013-08-23,81.392
2013-08-26,81.441
2013-08-27,81.2
2013-08-28,81.465
2013-08-29,82.003
2013-08-30,82.142
2013-09-02,82.142
2013-09-03,82.401
2013-09-04,82.205
2013-09-05,82.668
2013-09-06,82.167
2013-09-09,81.796
2013-09-10,81.819
2013-09-11,81.522
2013-09-12,81.491
2013-09-13,81.448
2013-09-16,81.072
2013-09-17,81.295
2013-09-18,80.367
2013-09-19,80.48
2013-09-20,80.549
2013-09-23,80.571
2013-09-24,80.69
2013-09-25,80.443
2013-09-26,80.638
2013-09-27,80.377
2013-09-30,80.323
2013-10-01,80.25
2013-10-02,79.989
2013-10-03,79.846
2013-10-04,80.22
2013-10-07,80.026
2013-10-08,80.132
2013-10-09,80.466
2013-10-10,80.517
2013-10-11,80.452
2013-10-14,80.311
2013-10-15,80.561
2013-10-16,80.563
2013-10-17,79.718
2013-10-18,79.727
2013-10-21,79.751
2013-10-22,79.29
2013-10-23,79.329
2013-10-24,79.245
2013-10-25,79.246
2013-10-28,79.306
2013-10-29,79.67
2013-10-30,79.837
2013-10-31,80.263
2013-11-01,80.81
2013-11-04,80.64
2013-11-05,80.787
2013-11-06,80.559
2013-11-07,80.854
2013-11-08,81.387
2013-11-11,81.2
2013-11-12,81.252
2013-11-13,80.983
2013-11-14,81.086
2013-11-15,80.898
2013-11-18,80.826
2013-11-19,80.744
2013-11-20,81.172
2013-11-21,81.117
2013-11-22,80.742
2013-11-25,80.963
2013-11-26,80.638
2013-11-27,80.747
2013-11-28,80.747
2013-11-29,80.657
2013-12-02,80.942
2013-12-03,80.618
2013-12-04,80.628
2013-12-05,80.241
2013-12-06,80.315
2013-12-09,80.14
2013-12-10,79.964
2013-12-11,79.89
2013-12-12,80.208
2013-12-13,80.22
2013-12-16,80.045
2013-12-17,80.214
2013-12-18,80.248
2013-12-19,80.788
2013-12-20,80.75
2013-12-23,80.617
2013-12-24,80.674
2013-12-26,80.653
2013-12-27,80.538
2013-12-30,80.122
2013-12-31,80.189
2014-01-01,80.29
2014-01-02,80.788
2014-01-03,80.955
2014-01-06,80.806
2014-01-07,80.98
2014-01-08,81.162
2014-01-09,81.135
2014-01-10,80.754
2014-01-13,80.611
2014-01-14,80.756
2014-01-15,81.144
2014-01-16,81.021
2014-01-17,81.362
2014-01-20,81.362
2014-01-21,81.226
2014-01-22,81.305
2014-01-23,80.525
2014-01-24,80.541
2014-01-27,80.612
2014-01-28,80.657
2014-01-29,80.581
2014-01-30,81.193
2014-01-31,81.403
2014-02-03,81.11
2014-02-04,81.224
2014-02-05,81.129
2014-02-06,81.002
2014-02-07,80.758
2014-02-10,80.727
2014-02-11,80.704
2014-02-12,80.741
2014-02-13,80.378
2014-02-14,80.179
2014-02-17,80.179
2014-02-18,80.046
2014-02-19,80.186
2014-02-20,80.316
2014-02-21,80.27
